Simbolo	Ocurrencias	Frecuencia
ib	885447	0.0014877
ic	4721659	0.0079332
id	3848024	0.00646534
ie	4756756	0.00799217
if	605048	0.00101658
ig	1296737	0.00217874
ih	10078	1.69328e-05
ii	63656	0.000106953
ij	275440	0.000462787
ik	19056	3.20174e-05
il	1808386	0.0030384
im	2063522	0.00346707
in	5631850	0.00946248
iñ	106493	0.000178927
io	7238524	0.012162
ip	567728	0.000953881
iq	115286	0.0001937
ir	1862077	0.00312861
is	3602145	0.00605222
it	2387497	0.00401141
iu	153165	0.000257344
iv	1352985	0.00227325
iw	2079	3.49308e-06
ix	32093	5.39218e-05
iy	2439	4.09794e-06
iz	789310	0.00132618
ja	759476	0.00127605
jb	166	2.78909e-07
jc	614	1.03163e-06
jd	511	8.58568e-07
je	786862	0.00132206
jf	163	2.73868e-07
jg	122	2.04981e-07
jh	259	4.35165e-07
ji	75634	0.000127078
jj	264	4.43566e-07
jk	678	1.13916e-06
jl	692	1.16268e-06
jm	606	1.01818e-06
jn	628	1.05515e-06
jñ	59	9.91302e-08
jo	1019722	0.00171331
jp	520	8.7369e-07
jq	8	1.34414e-08
jr	1339	2.24975e-06
js	453	7.61118e-07
jt	479	8.04803e-07
ju	604516	0.00101569
jv	122	2.04981e-07
jw	47	7.89681e-08
jy	41	6.88871e-08
jz	42	7.05672e-08
ka	48856	8.20865e-05
kb	675	1.13412e-06
kc	771	1.29541e-06
kd	298	5.00691e-07
ke	47827	8.03576e-05
kf	644	1.08203e-06
kg	4279	7.18946e-06
kh	4022	6.75765e-06
ki	66586	0.000111876
kj	338	5.67898e-07
kk	2220	3.72998e-06
kl	8313	1.39673e-05
km	5375	9.03093e-06
kn	2337	3.92656e-06
ko	29505	4.95735e-05
kp	341	5.72939e-07
kq	3	5.04052e-09
kr	8184	1.37505e-05
ks	7576	1.2729e-05
kt	1483	2.4917e-06
ku	12664	2.12777e-05
kv	333	5.59497e-07
kw	1318	2.21447e-06
kx	154	2.58747e-07
ky	9810	1.64825e-05
kz	32	5.37655e-08
la	12067928	0.0202762
lb	65591	0.000110204
lc	175492	0.000294857
ld	204180	0.000343058
le	4624319	0.00776965
lf	59394	9.97922e-05
lg	406835	0.000683553
lh	7035	1.182e-05
li	3500023	0.00588064
lj	1569	2.63619e-06
lk	9097	1.52845e-05
ll	2065980	0.0034712
lm	333824	0.000560882
ln	11228	1.8865e-05
lñ	9	1.51216e-08
lo	6276309	0.0105453
lp	74043	0.000124405
lq	74535	0.000125232
lr	22617	3.80005e-05
ls	112934	0.000189749
lt	810347	0.00136152
lu	1007897	0.00169344
lv	278385	0.000467735
lw	1397	2.3472e-06
lx	328	5.51097e-07
ly	20578	3.45746e-05
lz	26480	4.4491e-05
ma	5069044	0.00851687
mb	1165907	0.00195892
mc	8285	1.39202e-05
md	1656	2.78237e-06
me	4319229	0.00725705
mf	1510	2.53706e-06
mg	3248	5.4572e-06
mh	1262	2.12038e-06
mi	3377645	0.00567503
mj	190	3.19233e-07
mk	382	6.41826e-07
ml	4754	7.98754e-06
mm	16635	2.79497e-05
mn	50500	8.48487e-05
mñ	2	3.36034e-09
mo	3410373	0.00573001
mp	1873596	0.00314796
mq	225	3.78039e-07
mr	3941	6.62156e-06
ms	17157	2.88267e-05
mt	2634	4.42557e-06
mu	1318787	0.00221579
mv	985	1.65497e-06
mw	1487	2.49842e-06
mx	430	7.22474e-07
my	6399	1.07514e-05
mz	216	3.62917e-07
na	5502156	0.00924457
nb	8346	1.40227e-05
nc	2905820	0.00488228
nd	3427863	0.0057594
ne	3322032	0.00558159
nf	548419	0.000921438
ng	672238	0.00112948
nh	21331	3.58398e-05
ni	2706421	0.00454725
